feature_dim,lda_components,classifier,seed,accuracy,projection_sec,lda_fit_sec,lda_transform_train_sec,lda_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
512,2,logistic,0,0.0846,0.0,0.9084073749836534,0.028018916957080364,0.007494541991036385,2.4741430830326863,0.008447583997622132,3.4269767079968005
512,2,sgd,0,0.0701,0.0,0.8783388750161976,0.02879970904905349,0.012647791998460889,0.46211120899533853,0.002769292041193694,1.3851253329776227
512,5,logistic,0,0.1652,0.0,0.91378545796033,0.06177508400287479,0.006659124977886677,3.066405792022124,0.005472708027809858,4.054601249983534
512,5,sgd,0,0.1224,0.0,0.8569932920509018,0.0366191670182161,0.016186250024475157,0.4448869579937309,0.00196749996393919,1.3574460000381805
512,10,logistic,0,0.2411,0.0,0.7848176669795066,0.028311333968304098,0.009588541986886412,3.5318068329943344,0.008284499985165894,4.363205166999251
512,10,sgd,0,0.1651,0.0,0.8299738330533728,0.04865962499752641,0.01043437496991828,0.47370112501084805,0.002670540998224169,1.3657936250092462
512,20,logistic,0,0.3211,0.0,0.8254672089824453,0.02862212498439476,0.006147583015263081,3.431218124984298,0.008368042006623,4.300900458008982
512,20,sgd,0,0.2145,0.0,0.9115082920179702,0.032020832994021475,0.012662791996262968,0.5968253330211155,0.002636042016092688,1.556366624950897
512,40,logistic,0,0.395,0.0,0.8247573330299929,0.03406183299375698,0.005693541024811566,3.0793684169766493,0.006378500023856759,3.9515435420325957
512,40,sgd,0,0.2973,0.0,0.885363708017394,0.02925525000318885,0.012514375033788383,0.7900147080072202,0.0023402079823426902,1.7200451249955222
512,80,logistic,0,0.422,0.0,0.8032815830083564,0.02716800000052899,0.0055601250496692955,3.899796542013064,0.007933707966003567,4.746437625028193
512,80,sgd,0,0.4073,0.0,0.9041412909864448,0.02823183295549825,0.03882562497165054,1.2431485829874873,0.00274620798882097,2.218289249984082
512,99,logistic,0,0.4263,0.0,0.8086369580123574,0.02910770900780335,0.005767666967585683,3.9547381660086103,0.0062722909497097135,4.805134541995358
