backbone,feature_dim,method,components,accuracy,runtime_sec
ResNet-18,512,None (Full),512,0.6441,83.66299683303805
ResNet-18,512,LDA,10,0.3583,5.923042708018329
ResNet-18,512,PCA,10,0.329,6.04201799997827
ResNet-18,512,LDA,20,0.4833,4.885923082998488
ResNet-18,512,PCA,20,0.4768,5.970007249969058
ResNet-18,512,LDA,40,0.6007,4.917207457998302
ResNet-18,512,PCA,40,0.5736,6.803406040999107
ResNet-18,512,LDA,80,0.6614,5.223818416998256
ResNet-18,512,PCA,80,0.64,8.036389374989085
ResNet-18,512,LDA,99,0.6688,5.719916999980342
ResNet-18,512,PCA,99,0.6501,8.934230374987237
ResNet-50,2048,None (Full),2048,0.7186,213.73693216696847
ResNet-50,2048,LDA,10,0.3826,15.936337833001744
ResNet-50,2048,PCA,10,0.3586,9.155248957977165
ResNet-50,2048,LDA,20,0.5058,14.312146958021913
ResNet-50,2048,PCA,20,0.5011,7.745060917048249
ResNet-50,2048,LDA,40,0.63,14.8207093749661
ResNet-50,2048,PCA,40,0.613,9.745559667004272
ResNet-50,2048,LDA,80,0.7051,15.807661875034682
ResNet-50,2048,PCA,80,0.6666,12.423713667027187
ResNet-50,2048,LDA,99,0.7169,14.782575833960436
ResNet-50,2048,PCA,99,0.6747,13.42741687502712
MobileNetV3-Small,576,None (Full),576,0.6961,26.98307662503794
MobileNetV3-Small,576,LDA,10,0.3712,6.598122374969535
MobileNetV3-Small,576,PCA,10,0.3387,4.976503624988254
MobileNetV3-Small,576,LDA,20,0.4906,5.1824694580282085
MobileNetV3-Small,576,PCA,20,0.475,4.435987292032223
MobileNetV3-Small,576,LDA,40,0.6096,6.557115416042507
MobileNetV3-Small,576,PCA,40,0.58,5.638976082962472
MobileNetV3-Small,576,LDA,80,0.6736,7.83528729097452
MobileNetV3-Small,576,PCA,80,0.6359,7.329931292042602
MobileNetV3-Small,576,LDA,99,0.6836,8.014759209007025
MobileNetV3-Small,576,PCA,99,0.6531,8.139446999994107
EfficientNet-B0,1280,None (Full),1280,0.7314,57.62664133304497
EfficientNet-B0,1280,LDA,10,0.3779,11.961809957982041
EfficientNet-B0,1280,PCA,10,0.3895,6.383983583014924
EfficientNet-B0,1280,LDA,20,0.5198,9.602214040991385
EfficientNet-B0,1280,PCA,20,0.5247,6.91203491599299
EfficientNet-B0,1280,LDA,40,0.6313,10.027519375027623
EfficientNet-B0,1280,PCA,40,0.6316,7.278872916998807
EfficientNet-B0,1280,LDA,80,0.7047,10.877832707948983
EfficientNet-B0,1280,PCA,80,0.6896,8.118378875020426
EfficientNet-B0,1280,LDA,99,0.7206,10.9937979169772
EfficientNet-B0,1280,PCA,99,0.703,10.125186374993064
