class_id,class_name,lda_accuracy,pca_accuracy,lda_improvement
0,apple,0.88,0.82,0.06000000000000005
1,aquarium_fish,0.79,0.78,0.010000000000000009
2,baby,0.61,0.61,0.0
3,bear,0.47,0.46,0.009999999999999953
4,beaver,0.45,0.42,0.030000000000000027
5,bed,0.66,0.56,0.09999999999999998
6,bee,0.76,0.72,0.040000000000000036
7,beetle,0.67,0.67,0.0
8,bicycle,0.88,0.86,0.020000000000000018
9,bottle,0.87,0.89,-0.020000000000000018
10,bowl,0.58,0.55,0.029999999999999916
11,boy,0.48,0.41,0.07
12,bridge,0.73,0.65,0.07999999999999996
13,bus,0.63,0.56,0.06999999999999995
14,butterfly,0.63,0.6,0.030000000000000027
15,camel,0.71,0.63,0.07999999999999996
16,can,0.81,0.8,0.010000000000000009
17,castle,0.79,0.75,0.040000000000000036
18,caterpillar,0.62,0.66,-0.040000000000000036
19,cattle,0.61,0.62,-0.010000000000000009
20,chair,0.83,0.77,0.05999999999999994
21,chimpanzee,0.8,0.78,0.020000000000000018
22,clock,0.84,0.78,0.05999999999999994
23,cloud,0.74,0.74,0.0
24,cockroach,0.75,0.77,-0.020000000000000018
25,couch,0.63,0.59,0.040000000000000036
26,crab,0.6,0.61,-0.010000000000000009
27,crocodile,0.55,0.5,0.050000000000000044
28,cup,0.75,0.78,-0.030000000000000027
29,dinosaur,0.66,0.65,0.010000000000000009
30,dolphin,0.55,0.59,-0.039999999999999925
31,elephant,0.67,0.63,0.040000000000000036
32,flatfish,0.52,0.47,0.050000000000000044
33,forest,0.53,0.58,-0.04999999999999993
34,fox,0.67,0.64,0.030000000000000027
35,girl,0.38,0.41,-0.02999999999999997
36,hamster,0.71,0.77,-0.06000000000000005
37,house,0.77,0.68,0.08999999999999997
38,kangaroo,0.55,0.48,0.07000000000000006
39,keyboard,0.87,0.86,0.010000000000000009
40,lamp,0.59,0.57,0.020000000000000018
41,lawn_mower,0.84,0.84,0.0
42,leopard,0.54,0.64,-0.09999999999999998
43,lion,0.65,0.64,0.010000000000000009
44,lizard,0.55,0.5,0.050000000000000044
45,lobster,0.46,0.46,0.0
46,man,0.45,0.52,-0.07
47,maple_tree,0.55,0.49,0.06000000000000005
48,motorcycle,0.9,0.88,0.020000000000000018
49,mountain,0.78,0.78,0.0
50,mouse,0.47,0.42,0.04999999999999999
51,mushroom,0.8,0.72,0.08000000000000007
52,oak_tree,0.64,0.61,0.030000000000000027
53,orange,0.9,0.92,-0.020000000000000018
54,orchid,0.76,0.78,-0.020000000000000018
55,otter,0.45,0.39,0.06
56,palm_tree,0.76,0.73,0.030000000000000027
57,pear,0.75,0.68,0.06999999999999995
58,pickup_truck,0.82,0.78,0.039999999999999925
59,pine_tree,0.58,0.5,0.07999999999999996
60,plain,0.72,0.7,0.020000000000000018
61,plate,0.62,0.72,-0.09999999999999998
62,poppy,0.63,0.61,0.020000000000000018
63,porcupine,0.64,0.53,0.10999999999999999
64,possum,0.45,0.46,-0.010000000000000009
65,rabbit,0.61,0.6,0.010000000000000009
66,raccoon,0.62,0.56,0.05999999999999994
67,ray,0.61,0.6,0.010000000000000009
68,road,0.83,0.85,-0.020000000000000018
69,rocket,0.78,0.79,-0.010000000000000009
70,rose,0.69,0.67,0.019999999999999907
71,sea,0.72,0.67,0.04999999999999993
72,seal,0.51,0.41,0.10000000000000003
73,shark,0.56,0.6,-0.039999999999999925
74,shrew,0.43,0.42,0.010000000000000009
75,skunk,0.79,0.83,-0.039999999999999925
76,skyscraper,0.88,0.83,0.050000000000000044
77,snail,0.62,0.58,0.040000000000000036
78,snake,0.64,0.67,-0.030000000000000027
79,spider,0.64,0.61,0.030000000000000027
80,squirrel,0.51,0.45,0.06
81,streetcar,0.63,0.58,0.050000000000000044
82,sunflower,0.92,0.92,0.0
83,sweet_pepper,0.66,0.64,0.020000000000000018
84,table,0.63,0.6,0.030000000000000027
85,tank,0.73,0.76,-0.030000000000000027
86,telephone,0.74,0.71,0.030000000000000027
87,television,0.84,0.87,-0.030000000000000027
88,tiger,0.74,0.72,0.020000000000000018
89,tractor,0.78,0.8,-0.020000000000000018
90,train,0.67,0.63,0.040000000000000036
91,trout,0.72,0.71,0.010000000000000009
92,tulip,0.54,0.43,0.11000000000000004
93,turtle,0.61,0.52,0.08999999999999997
94,wardrobe,0.87,0.89,-0.020000000000000018
95,whale,0.68,0.66,0.020000000000000018
96,willow_tree,0.53,0.51,0.020000000000000018
97,wolf,0.69,0.7,-0.010000000000000009
98,woman,0.42,0.52,-0.10000000000000003
99,worm,0.74,0.73,0.010000000000000009
