dataset,train_fraction,n_train_samples,seed,n_components,acc_full,acc_lda,acc_pca,lda_vs_full,lda_vs_pca
cifar100,0.1,5000,42,99,0.3213,0.2982,0.2828,-0.023099999999999954,0.015400000000000025
cifar100,0.1,5000,123,99,0.3221,0.2906,0.2866,-0.03149999999999997,0.0040000000000000036
cifar100,0.1,5000,456,99,0.3162,0.2902,0.287,-0.025999999999999968,0.003200000000000036
cifar100,0.25,12500,42,99,0.3291,0.356,0.3497,0.02689999999999998,0.006299999999999972
cifar100,0.25,12500,123,99,0.338,0.3542,0.3558,0.016199999999999992,-0.0015999999999999903
cifar100,0.25,12500,456,99,0.3324,0.361,0.358,0.028600000000000014,0.0030000000000000027
cifar100,0.5,25000,42,99,0.3543,0.4004,0.3881,0.046099999999999974,0.012299999999999978
cifar100,0.5,25000,123,99,0.3585,0.4044,0.3919,0.045899999999999996,0.012499999999999956
cifar100,0.5,25000,456,99,0.358,0.4012,0.3933,0.043200000000000016,0.007900000000000018
cifar100,1.0,50000,42,99,0.4066,0.4257,0.4101,0.019100000000000006,0.015600000000000003
cifar100,1.0,50000,123,99,0.4066,0.4257,0.409,0.019100000000000006,0.016700000000000048
cifar100,1.0,50000,456,99,0.4066,0.4257,0.4085,0.019100000000000006,0.01720000000000005
