backbone,feature_dim,lda_components,total_params,memory_kb,inference_flops,accuracy
ResNet-18,512,10,6220,24.296875,6120,0.3583
ResNet-18,512,20,12340,48.203125,12240,0.4833
ResNet-18,512,40,24580,96.015625,24480,0.6007
ResNet-18,512,99,60688,237.0625,60588,0.6688
ResNet-50,2048,10,21580,84.296875,21480,0.3826
ResNet-50,2048,20,43060,168.203125,42960,0.5058
ResNet-50,2048,40,86020,336.015625,85920,0.63
ResNet-50,2048,99,212752,831.0625,212652,0.7169
MobileNetV3-Small,576,10,6860,26.796875,6760,0.3712
MobileNetV3-Small,576,20,13620,53.203125,13520,0.4906
MobileNetV3-Small,576,40,27140,106.015625,27040,0.6096
MobileNetV3-Small,576,99,67024,261.8125,66924,0.6836
EfficientNet-B0,1280,10,13900,54.296875,13800,0.3779
EfficientNet-B0,1280,20,27700,108.203125,27600,0.5198
EfficientNet-B0,1280,40,55300,216.015625,55200,0.6313
EfficientNet-B0,1280,99,136720,534.0625,136620,0.7206
