method,components,accuracy,runtime_sec
LDA,20,0.4833,5.108625209017191
PCA,20,0.4768,6.0511782499961555
Metric Learning (NCA),20,0.5635,54.97514804202365
LDA + k-NN,20,0.424,1.4161186249693856
LDA,40,0.6007,5.206974083033856
PCA,40,0.5736,6.478212125017308
Metric Learning (NCA),40,0.6254,63.64543595799478
LDA + k-NN,40,0.5402,0.32852687494596466
LDA,99,0.6688,5.909388916974422
PCA,99,0.6501,8.844296249968465
Metric Learning (NCA),99,0.6408,66.61896187497769
LDA + k-NN,99,0.5945,0.43836920900503173
