backbone,dataset,method,fraction,n_train_samples,seed,accuracy,dim,time_total
resnet18,cifar100,Full,0.1,5000,42,57.36,512,7.58
resnet18,cifar100,PCA,0.1,5000,42,51.81,99,3.77
resnet18,cifar100,LDA,0.1,5000,42,54.41,99,1.9
resnet18,cifar100,DSB,0.1,5000,42,54.98,99,4.64
resnet18,cifar100,RDA,0.1,5000,42,55.13,119,6.59
resnet18,cifar100,Full,0.1,5000,123,57.93,512,5.89
resnet18,cifar100,PCA,0.1,5000,123,51.17,99,3.47
resnet18,cifar100,LDA,0.1,5000,123,54.56,99,2.08
resnet18,cifar100,DSB,0.1,5000,123,55.22,99,5.68
resnet18,cifar100,RDA,0.1,5000,123,55.1,119,5.92
resnet18,cifar100,Full,0.1,5000,456,57.78,512,7.38
resnet18,cifar100,PCA,0.1,5000,456,51.07,99,4.93
resnet18,cifar100,LDA,0.1,5000,456,54.99,99,1.75
resnet18,cifar100,DSB,0.1,5000,456,55.62,99,4.9
resnet18,cifar100,RDA,0.1,5000,456,55.76,119,6.39
resnet18,cifar100,Full,0.25,12500,42,60.0,512,18.75
resnet18,cifar100,PCA,0.25,12500,42,58.18,99,6.06
resnet18,cifar100,LDA,0.25,12500,42,58.59,99,4.89
resnet18,cifar100,DSB,0.25,12500,42,58.27,99,15.32
resnet18,cifar100,RDA,0.25,12500,42,58.11,119,11.2
resnet18,cifar100,Full,0.25,12500,123,60.58,512,15.08
resnet18,cifar100,PCA,0.25,12500,123,58.96,99,5.25
resnet18,cifar100,LDA,0.25,12500,123,58.8,99,5.51
resnet18,cifar100,DSB,0.25,12500,123,58.3,99,13.11
resnet18,cifar100,RDA,0.25,12500,123,59.18,119,10.09
resnet18,cifar100,Full,0.25,12500,456,60.39,512,14.37
resnet18,cifar100,PCA,0.25,12500,456,58.08,99,5.67
resnet18,cifar100,LDA,0.25,12500,456,58.98,99,5.45
resnet18,cifar100,DSB,0.25,12500,456,58.5,99,12.18
resnet18,cifar100,RDA,0.25,12500,456,58.68,119,9.01
resnet18,cifar100,Full,0.5,25000,42,61.07,512,21.69
resnet18,cifar100,PCA,0.5,25000,42,62.41,99,7.86
resnet18,cifar100,LDA,0.5,25000,42,63.43,99,8.59
resnet18,cifar100,DSB,0.5,25000,42,63.87,99,22.27
resnet18,cifar100,RDA,0.5,25000,42,63.21,119,15.77
resnet18,cifar100,Full,0.5,25000,123,61.62,512,24.67
resnet18,cifar100,PCA,0.5,25000,123,62.53,99,6.99
resnet18,cifar100,LDA,0.5,25000,123,63.95,99,7.3
resnet18,cifar100,DSB,0.5,25000,123,64.13,99,21.22
resnet18,cifar100,RDA,0.5,25000,123,63.76,119,12.01
resnet18,cifar100,Full,0.5,25000,456,62.05,512,28.11
resnet18,cifar100,PCA,0.5,25000,456,62.54,99,7.22
resnet18,cifar100,LDA,0.5,25000,456,64.27,99,7.11
resnet18,cifar100,DSB,0.5,25000,456,64.52,99,20.91
resnet18,cifar100,RDA,0.5,25000,456,64.12,119,15.42
resnet18,cifar100,Full,1.0,50000,42,62.9,512,52.82
resnet18,cifar100,PCA,1.0,50000,42,65.06,99,9.97
resnet18,cifar100,LDA,1.0,50000,42,66.97,99,10.06
resnet18,cifar100,DSB,1.0,50000,42,67.27,99,24.87
resnet18,cifar100,RDA,1.0,50000,42,66.75,119,25.24
resnet18,cifar100,Full,1.0,50000,123,62.91,512,55.21
resnet18,cifar100,PCA,1.0,50000,123,65.07,99,10.63
resnet18,cifar100,LDA,1.0,50000,123,66.97,99,10.66
resnet18,cifar100,DSB,1.0,50000,123,67.27,99,26.38
resnet18,cifar100,RDA,1.0,50000,123,66.77,119,25.65
resnet18,cifar100,Full,1.0,50000,456,62.92,512,59.75
resnet18,cifar100,PCA,1.0,50000,456,65.07,99,10.05
resnet18,cifar100,LDA,1.0,50000,456,66.97,99,10.39
resnet18,cifar100,DSB,1.0,50000,456,67.27,99,25.58
resnet18,cifar100,RDA,1.0,50000,456,66.76,119,25.54
resnet50,cifar100,Full,0.1,5000,42,66.28,2048,6.14
resnet50,cifar100,PCA,0.1,5000,42,59.51,99,5.08
resnet50,cifar100,LDA,0.1,5000,42,62.64,99,2.76
resnet50,cifar100,DSB,0.1,5000,42,63.83,99,18.08
resnet50,cifar100,RDA,0.1,5000,42,63.57,129,5.67
resnet50,cifar100,Full,0.1,5000,123,67.02,2048,6.51
resnet50,cifar100,PCA,0.1,5000,123,58.9,99,6.27
resnet50,cifar100,LDA,0.1,5000,123,62.9,99,2.96
resnet50,cifar100,DSB,0.1,5000,123,64.53,99,15.46
resnet50,cifar100,RDA,0.1,5000,123,63.64,129,5.73
resnet50,cifar100,Full,0.1,5000,456,66.98,2048,6.21
resnet50,cifar100,PCA,0.1,5000,456,59.14,99,6.09
