backbone,dataset,method,label,seed,accuracy,dim,time_reduce,time_classify,time_total
resnet18,cifar100,Full,Full,42,62.85,512,0.0,55.57,55.57
resnet18,cifar100,Full,Full,123,62.87,512,0.0,57.58,57.58
resnet18,cifar100,Full,Full,456,62.88,512,0.0,62.68,62.68
resnet18,cifar100,Full,Full,789,62.85,512,0.0,60.63,60.63
resnet18,cifar100,Full,Full,1024,62.82,512,0.0,45.72,45.72
resnet18,cifar100,PCA,PCA (99D),42,65.06,99,0.11,10.68,10.79
resnet18,cifar100,PCA,PCA (99D),123,65.07,99,0.1,10.56,10.66
resnet18,cifar100,PCA,PCA (99D),456,65.07,99,0.1,10.59,10.69
resnet18,cifar100,PCA,PCA (99D),789,65.06,99,0.1,10.48,10.58
resnet18,cifar100,PCA,PCA (99D),1024,65.06,99,0.1,10.63,10.74
resnet18,cifar100,LDA,LDA (99D),42,66.97,99,1.67,9.2,10.87
resnet18,cifar100,LDA,LDA (99D),123,66.97,99,1.65,9.03,10.67
resnet18,cifar100,LDA,LDA (99D),456,66.97,99,1.78,9.19,10.97
resnet18,cifar100,LDA,LDA (99D),789,66.97,99,1.81,9.06,10.86
resnet18,cifar100,LDA,LDA (99D),1024,66.97,99,1.72,9.17,10.89
resnet18,cifar100,R-LDA,R-LDA (99D),42,66.64,99,2.13,11.48,13.61
resnet18,cifar100,R-LDA,R-LDA (99D),123,66.68,99,2.26,10.59,12.85
resnet18,cifar100,R-LDA,R-LDA (99D),456,66.69,99,2.24,10.55,12.79
resnet18,cifar100,R-LDA,R-LDA (99D),789,66.69,99,2.45,10.5,12.95
resnet18,cifar100,R-LDA,R-LDA (99D),1024,66.69,99,2.41,10.06,12.46
resnet18,cifar100,LFDA,LFDA (99D),42,65.25,99,5.09,10.29,15.38
resnet18,cifar100,LFDA,LFDA (99D),123,65.25,99,5.1,9.04,14.13
resnet18,cifar100,LFDA,LFDA (99D),456,65.25,99,5.11,10.37,15.48
resnet18,cifar100,LFDA,LFDA (99D),789,65.25,99,5.04,9.26,14.3
resnet18,cifar100,LFDA,LFDA (99D),1024,65.25,99,5.11,9.72,14.83
resnet18,cifar100,RDA,RDA (99+20D),42,66.7,119,1.88,22.03,23.9
resnet18,cifar100,RDA,RDA (99+20D),123,66.77,119,1.77,24.74,26.51
resnet18,cifar100,RDA,RDA (99+20D),456,66.72,119,1.79,23.06,24.85
resnet18,cifar100,RDA,RDA (99+20D),789,66.69,119,1.94,22.72,24.66
resnet18,cifar100,RDA,RDA (99+20D),1024,66.85,119,1.79,22.94,24.73
resnet18,cifar100,DSB,"DSB (2 rounds, 99D)",42,67.27,99,15.09,9.63,24.71
resnet18,cifar100,DSB,"DSB (2 rounds, 99D)",123,67.27,99,15.96,10.11,26.06
resnet18,cifar100,DSB,"DSB (2 rounds, 99D)",456,67.27,99,14.34,10.38,24.71
resnet18,cifar100,DSB,"DSB (2 rounds, 99D)",789,67.27,99,14.85,9.82,24.67
resnet18,cifar100,DSB,"DSB (2 rounds, 99D)",1024,67.27,99,15.49,10.02,25.51
resnet18,tiny_imagenet,Full,Full,42,59.87,512,0.0,125.75,125.75
resnet18,tiny_imagenet,Full,Full,123,59.85,512,0.0,121.09,121.09
resnet18,tiny_imagenet,Full,Full,456,59.79,512,0.0,131.6,131.6
resnet18,tiny_imagenet,Full,Full,789,59.88,512,0.0,114.89,114.89
resnet18,tiny_imagenet,Full,Full,1024,59.83,512,0.0,114.59,114.59
resnet18,tiny_imagenet,PCA,PCA (199D),42,64.43,199,0.17,38.77,38.94
resnet18,tiny_imagenet,PCA,PCA (199D),123,64.46,199,0.18,26.6,26.78
resnet18,tiny_imagenet,PCA,PCA (199D),456,64.49,199,0.17,31.34,31.51
resnet18,tiny_imagenet,PCA,PCA (199D),789,64.46,199,0.18,26.7,26.88
resnet18,tiny_imagenet,PCA,PCA (199D),1024,64.46,199,0.18,26.87,27.05
resnet18,tiny_imagenet,LDA,LDA (199D),42,64.48,199,3.38,35.28,38.66
resnet18,tiny_imagenet,LDA,LDA (199D),123,64.42,199,3.33,35.9,39.23
resnet18,tiny_imagenet,LDA,LDA (199D),456,64.37,199,3.37,40.68,44.05
resnet18,tiny_imagenet,LDA,LDA (199D),789,64.35,199,3.36,42.02,45.38
resnet18,tiny_imagenet,LDA,LDA (199D),1024,64.47,199,3.34,35.34,38.67
resnet18,tiny_imagenet,R-LDA,R-LDA (199D),42,64.79,199,4.23,40.96,45.2
resnet18,tiny_imagenet,R-LDA,R-LDA (199D),123,64.72,199,4.16,47.79,51.95
resnet18,tiny_imagenet,R-LDA,R-LDA (199D),456,64.73,199,4.18,47.52,51.71
resnet18,tiny_imagenet,R-LDA,R-LDA (199D),789,64.68,199,4.59,44.71,49.29
resnet18,tiny_imagenet,R-LDA,R-LDA (199D),1024,64.78,199,4.49,44.77,49.26
resnet18,tiny_imagenet,LFDA,LFDA (199D),42,64.18,199,9.68,44.04,53.71
resnet18,tiny_imagenet,LFDA,LFDA (199D),123,64.13,199,9.71,39.83,49.54
resnet18,tiny_imagenet,LFDA,LFDA (199D),456,64.14,199,9.61,41.1,50.71
resnet18,tiny_imagenet,LFDA,LFDA (199D),789,64.18,199,9.72,33.24,42.96
resnet18,tiny_imagenet,LFDA,LFDA (199D),1024,64.1,199,9.67,36.86,46.53
resnet18,tiny_imagenet,RDA,RDA (199+20D),42,64.48,219,3.61,42.59,46.2
resnet18,tiny_imagenet,RDA,RDA (199+20D),123,64.48,219,3.64,42.78,46.42
resnet18,tiny_imagenet,RDA,RDA (199+20D),456,64.55,219,3.63,40.91,44.54
resnet18,tiny_imagenet,RDA,RDA (199+20D),789,64.54,219,3.67,41.72,45.39
resnet18,tiny_imagenet,RDA,RDA (199+20D),1024,64.53,219,3.69,35.58,39.26
resnet18,tiny_imagenet,DSB,"DSB (2 rounds, 199D)",42,64.7,199,57.18,31.07,88.25
resnet18,tiny_imagenet,DSB,"DSB (2 rounds, 199D)",123,64.7,199,56.52,31.66,88.17
resnet18,tiny_imagenet,DSB,"DSB (2 rounds, 199D)",456,64.7,199,56.48,31.54,88.02
resnet18,tiny_imagenet,DSB,"DSB (2 rounds, 199D)",789,64.7,199,54.63,30.68,85.31
resnet18,tiny_imagenet,DSB,"DSB (2 rounds, 199D)",1024,64.7,199,56.13,31.74,87.87
resnet50,cifar100,Full,Full,42,71.98,2048,0.0,47.55,47.55
resnet50,cifar100,Full,Full,123,71.98,2048,0.0,47.04,47.04
resnet50,cifar100,Full,Full,456,71.98,2048,0.0,47.32,47.32
resnet50,cifar100,Full,Full,789,71.98,2048,0.0,47.63,47.63
resnet50,cifar100,Full,Full,1024,71.98,2048,0.0,48.13,48.13
resnet50,cifar100,PCA,PCA (99D),42,69.33,99,3.13,12.2,15.34
resnet50,cifar100,PCA,PCA (99D),123,69.09,99,3.1,13.15,16.25
resnet50,cifar100,PCA,PCA (99D),456,69.04,99,3.14,10.59,13.73
resnet50,cifar100,PCA,PCA (99D),789,69.18,99,3.42,11.96,15.38
resnet50,cifar100,PCA,PCA (99D),1024,69.27,99,3.31,11.16,14.47
resnet50,cifar100,LDA,LDA (99D),42,72.28,99,9.07,12.98,22.05
resnet50,cifar100,LDA,LDA (99D),123,72.2,99,8.9,13.23,22.13
resnet50,cifar100,LDA,LDA (99D),456,72.21,99,8.84,14.33,23.17
resnet50,cifar100,LDA,LDA (99D),789,72.3,99,9.0,13.24,22.24
resnet50,cifar100,LDA,LDA (99D),1024,72.21,99,8.96,14.26,23.22
resnet50,cifar100,R-LDA,R-LDA (99D),42,71.94,99,27.86,16.31,44.17
resnet50,cifar100,R-LDA,R-LDA (99D),123,71.95,99,27.05,15.81,42.86
resnet50,cifar100,R-LDA,R-LDA (99D),456,71.92,99,27.28,17.28,44.56
resnet50,cifar100,R-LDA,R-LDA (99D),789,71.83,99,27.24,14.54,41.78
resnet50,cifar100,R-LDA,R-LDA (99D),1024,71.83,99,27.36,15.06,42.42
resnet50,cifar100,LFDA,LFDA (99D),42,68.27,99,8.43,13.7,22.13
resnet50,cifar100,LFDA,LFDA (99D),123,68.07,99,8.36,13.67,22.02
resnet50,cifar100,LFDA,LFDA (99D),456,68.26,99,8.32,14.62,22.93
resnet50,cifar100,LFDA,LFDA (99D),789,68.14,99,7.97,12.29,20.26
resnet50,cifar100,LFDA,LFDA (99D),1024,68.26,99,8.11,14.8,22.9
resnet50,cifar100,RDA,RDA (99+30D),42,72.69,129,11.81,31.18,42.99
resnet50,cifar100,RDA,RDA (99+30D),123,72.66,129,12.02,30.2,42.22
resnet50,cifar100,RDA,RDA (99+30D),456,72.59,129,11.52,28.4,39.92
resnet50,cifar100,RDA,RDA (99+30D),789,72.67,129,11.8,35.1,46.91
resnet50,cifar100,RDA,RDA (99+30D),1024,72.72,129,11.93,36.07,48.0
resnet50,cifar100,DSB,"DSB (2 rounds, 99D)",42,72.73,99,44.47,10.97,55.44
resnet50,cifar100,DSB,"DSB (2 rounds, 99D)",123,72.59,99,43.31,13.17,56.48
resnet50,cifar100,DSB,"DSB (2 rounds, 99D)",456,72.63,99,47.14,11.05,58.19
resnet50,cifar100,DSB,"DSB (2 rounds, 99D)",789,72.6,99,46.73,13.26,59.99
