backbone,dataset,method,class_id,class_accuracy,overall_accuracy
resnet18,cifar100,Full,0,76.0,62.82
resnet18,cifar100,Full,1,76.0,62.82
resnet18,cifar100,Full,2,54.0,62.82
resnet18,cifar100,Full,3,47.0,62.82
resnet18,cifar100,Full,4,45.0,62.82
resnet18,cifar100,Full,5,58.0,62.82
resnet18,cifar100,Full,6,67.0,62.82
resnet18,cifar100,Full,7,67.0,62.82
resnet18,cifar100,Full,8,89.0,62.82
resnet18,cifar100,Full,9,85.0,62.82
resnet18,cifar100,Full,10,45.0,62.82
resnet18,cifar100,Full,11,39.0,62.82
resnet18,cifar100,Full,12,68.0,62.82
resnet18,cifar100,Full,13,58.0,62.82
resnet18,cifar100,Full,14,58.0,62.82
resnet18,cifar100,Full,15,69.0,62.82
resnet18,cifar100,Full,16,79.0,62.82
resnet18,cifar100,Full,17,77.0,62.82
resnet18,cifar100,Full,18,62.0,62.82
resnet18,cifar100,Full,19,52.0,62.82
resnet18,cifar100,Full,20,81.0,62.82
resnet18,cifar100,Full,21,70.0,62.82
resnet18,cifar100,Full,22,81.0,62.82
resnet18,cifar100,Full,23,68.0,62.82
resnet18,cifar100,Full,24,75.0,62.82
resnet18,cifar100,Full,25,58.0,62.82
resnet18,cifar100,Full,26,55.0,62.82
resnet18,cifar100,Full,27,54.0,62.82
resnet18,cifar100,Full,28,75.0,62.82
resnet18,cifar100,Full,29,59.0,62.82
resnet18,cifar100,Full,30,59.0,62.82
resnet18,cifar100,Full,31,58.0,62.82
resnet18,cifar100,Full,32,46.0,62.82
resnet18,cifar100,Full,33,48.0,62.82
resnet18,cifar100,Full,34,55.0,62.82
resnet18,cifar100,Full,35,36.0,62.82
resnet18,cifar100,Full,36,63.0,62.82
resnet18,cifar100,Full,37,66.0,62.82
resnet18,cifar100,Full,38,54.0,62.82
resnet18,cifar100,Full,39,83.0,62.82
resnet18,cifar100,Full,40,62.0,62.82
resnet18,cifar100,Full,41,81.0,62.82
resnet18,cifar100,Full,42,56.0,62.82
resnet18,cifar100,Full,43,66.0,62.82
resnet18,cifar100,Full,44,49.0,62.82
resnet18,cifar100,Full,45,50.0,62.82
resnet18,cifar100,Full,46,46.0,62.82
resnet18,cifar100,Full,47,53.0,62.82
resnet18,cifar100,Full,48,80.0,62.82
resnet18,cifar100,Full,49,70.0,62.82
resnet18,cifar100,Full,50,43.0,62.82
resnet18,cifar100,Full,51,68.0,62.82
resnet18,cifar100,Full,52,51.0,62.82
resnet18,cifar100,Full,53,86.0,62.82
resnet18,cifar100,Full,54,74.0,62.82
resnet18,cifar100,Full,55,39.0,62.82
resnet18,cifar100,Full,56,72.0,62.82
resnet18,cifar100,Full,57,66.0,62.82
resnet18,cifar100,Full,58,72.0,62.82
resnet18,cifar100,Full,59,55.0,62.82
resnet18,cifar100,Full,60,68.0,62.82
resnet18,cifar100,Full,61,62.0,62.82
resnet18,cifar100,Full,62,62.0,62.82
resnet18,cifar100,Full,63,55.0,62.82
resnet18,cifar100,Full,64,42.0,62.82
resnet18,cifar100,Full,65,52.0,62.82
resnet18,cifar100,Full,66,56.0,62.82
resnet18,cifar100,Full,67,61.0,62.82
resnet18,cifar100,Full,68,83.0,62.82
resnet18,cifar100,Full,69,77.0,62.82
resnet18,cifar100,Full,70,66.0,62.82
resnet18,cifar100,Full,71,60.0,62.82
resnet18,cifar100,Full,72,40.0,62.82
resnet18,cifar100,Full,73,50.0,62.82
resnet18,cifar100,Full,74,42.0,62.82
resnet18,cifar100,Full,75,77.0,62.82
resnet18,cifar100,Full,76,82.0,62.82
resnet18,cifar100,Full,77,56.0,62.82
resnet18,cifar100,Full,78,57.0,62.82
resnet18,cifar100,Full,79,67.0,62.82
resnet18,cifar100,Full,80,50.0,62.82
resnet18,cifar100,Full,81,60.0,62.82
resnet18,cifar100,Full,82,88.0,62.82
resnet18,cifar100,Full,83,67.0,62.82
resnet18,cifar100,Full,84,55.0,62.82
resnet18,cifar100,Full,85,62.0,62.82
resnet18,cifar100,Full,86,69.0,62.82
resnet18,cifar100,Full,87,85.0,62.82
resnet18,cifar100,Full,88,67.0,62.82
resnet18,cifar100,Full,89,80.0,62.82
resnet18,cifar100,Full,90,64.0,62.82
resnet18,cifar100,Full,91,71.0,62.82
resnet18,cifar100,Full,92,51.0,62.82
resnet18,cifar100,Full,93,50.0,62.82
resnet18,cifar100,Full,94,93.0,62.82
resnet18,cifar100,Full,95,64.0,62.82
resnet18,cifar100,Full,96,57.0,62.82
resnet18,cifar100,Full,97,67.0,62.82
resnet18,cifar100,Full,98,41.0,62.82
resnet18,cifar100,Full,99,72.0,62.82
resnet18,cifar100,PCA,0,84.0,65.07
resnet18,cifar100,PCA,1,77.0,65.07
resnet18,cifar100,PCA,2,59.0,65.07
resnet18,cifar100,PCA,3,50.0,65.07
resnet18,cifar100,PCA,4,39.0,65.07
resnet18,cifar100,PCA,5,56.0,65.07
resnet18,cifar100,PCA,6,74.0,65.07
resnet18,cifar100,PCA,7,67.0,65.07
resnet18,cifar100,PCA,8,84.0,65.07
resnet18,cifar100,PCA,9,88.0,65.07
resnet18,cifar100,PCA,10,53.0,65.07
resnet18,cifar100,PCA,11,38.0,65.07
resnet18,cifar100,PCA,12,68.0,65.07
resnet18,cifar100,PCA,13,60.0,65.07
resnet18,cifar100,PCA,14,61.0,65.07
resnet18,cifar100,PCA,15,68.0,65.07
resnet18,cifar100,PCA,16,84.0,65.07
resnet18,cifar100,PCA,17,77.0,65.07
resnet18,cifar100,PCA,18,65.0,65.07
resnet18,cifar100,PCA,19,63.0,65.07
resnet18,cifar100,PCA,20,79.0,65.07
resnet18,cifar100,PCA,21,83.0,65.07
resnet18,cifar100,PCA,22,82.0,65.07
resnet18,cifar100,PCA,23,75.0,65.07
resnet18,cifar100,PCA,24,76.0,65.07
resnet18,cifar100,PCA,25,54.0,65.07
resnet18,cifar100,PCA,26,58.0,65.07
resnet18,cifar100,PCA,27,53.0,65.07
resnet18,cifar100,PCA,28,79.0,65.07
resnet18,cifar100,PCA,29,61.0,65.07
resnet18,cifar100,PCA,30,55.0,65.07
resnet18,cifar100,PCA,31,66.0,65.07
resnet18,cifar100,PCA,32,44.0,65.07
resnet18,cifar100,PCA,33,60.0,65.07
resnet18,cifar100,PCA,34,60.0,65.07
resnet18,cifar100,PCA,35,41.0,65.07
resnet18,cifar100,PCA,36,74.0,65.07
resnet18,cifar100,PCA,37,74.0,65.07
resnet18,cifar100,PCA,38,55.0,65.07
resnet18,cifar100,PCA,39,88.0,65.07
resnet18,cifar100,PCA,40,61.0,65.07
resnet18,cifar100,PCA,41,88.0,65.07
resnet18,cifar100,PCA,42,60.0,65.07
resnet18,cifar100,PCA,43,68.0,65.07
resnet18,cifar100,PCA,44,46.0,65.07
resnet18,cifar100,PCA,45,49.0,65.07
resnet18,cifar100,PCA,46,48.0,65.07
resnet18,cifar100,PCA,47,50.0,65.07
resnet18,cifar100,PCA,48,90.0,65.07
resnet18,cifar100,PCA,49,76.0,65.07
resnet18,cifar100,PCA,50,42.0,65.07
resnet18,cifar100,PCA,51,74.0,65.07
resnet18,cifar100,PCA,52,68.0,65.07
resnet18,cifar100,PCA,53,91.0,65.07
resnet18,cifar100,PCA,54,78.0,65.07
resnet18,cifar100,PCA,55,38.0,65.07
resnet18,cifar100,PCA,56,73.0,65.07
resnet18,cifar100,PCA,57,72.0,65.07
resnet18,cifar100,PCA,58,79.0,65.07
resnet18,cifar100,PCA,59,47.0,65.07
resnet18,cifar100,PCA,60,76.0,65.07
resnet18,cifar100,PCA,61,70.0,65.07
resnet18,cifar100,PCA,62,66.0,65.07
resnet18,cifar100,PCA,63,53.0,65.07
resnet18,cifar100,PCA,64,44.0,65.07
resnet18,cifar100,PCA,65,59.0,65.07
resnet18,cifar100,PCA,66,57.0,65.07
resnet18,cifar100,PCA,67,61.0,65.07
resnet18,cifar100,PCA,68,84.0,65.07
resnet18,cifar100,PCA,69,79.0,65.07
resnet18,cifar100,PCA,70,61.0,65.07
resnet18,cifar100,PCA,71,66.0,65.07
resnet18,cifar100,PCA,72,36.0,65.07
resnet18,cifar100,PCA,73,64.0,65.07
resnet18,cifar100,PCA,74,41.0,65.07
resnet18,cifar100,PCA,75,82.0,65.07
resnet18,cifar100,PCA,76,82.0,65.07
resnet18,cifar100,PCA,77,57.0,65.07
resnet18,cifar100,PCA,78,65.0,65.07
resnet18,cifar100,PCA,79,61.0,65.07
resnet18,cifar100,PCA,80,46.0,65.07
resnet18,cifar100,PCA,81,59.0,65.07
resnet18,cifar100,PCA,82,92.0,65.07
resnet18,cifar100,PCA,83,64.0,65.07
resnet18,cifar100,PCA,84,53.0,65.07
resnet18,cifar100,PCA,85,76.0,65.07
resnet18,cifar100,PCA,86,72.0,65.07
resnet18,cifar100,PCA,87,85.0,65.07
resnet18,cifar100,PCA,88,68.0,65.07
resnet18,cifar100,PCA,89,75.0,65.07
resnet18,cifar100,PCA,90,64.0,65.07
resnet18,cifar100,PCA,91,69.0,65.07
resnet18,cifar100,PCA,92,45.0,65.07
resnet18,cifar100,PCA,93,55.0,65.07
resnet18,cifar100,PCA,94,87.0,65.07
resnet18,cifar100,PCA,95,63.0,65.07
resnet18,cifar100,PCA,96,55.0,65.07
resnet18,cifar100,PCA,97,67.0,65.07
resnet18,cifar100,PCA,98,48.0,65.07
resnet18,cifar100,PCA,99,70.0,65.07
resnet18,cifar100,LDA,0,88.0,66.97
resnet18,cifar100,LDA,1,79.0,66.97
resnet18,cifar100,LDA,2,61.0,66.97
resnet18,cifar100,LDA,3,47.0,66.97
resnet18,cifar100,LDA,4,45.0,66.97
resnet18,cifar100,LDA,5,66.0,66.97
resnet18,cifar100,LDA,6,76.0,66.97
resnet18,cifar100,LDA,7,67.0,66.97
resnet18,cifar100,LDA,8,88.0,66.97
resnet18,cifar100,LDA,9,87.0,66.97
resnet18,cifar100,LDA,10,55.0,66.97
resnet18,cifar100,LDA,11,48.0,66.97
resnet18,cifar100,LDA,12,73.0,66.97
resnet18,cifar100,LDA,13,63.0,66.97
resnet18,cifar100,LDA,14,62.0,66.97
resnet18,cifar100,LDA,15,72.0,66.97
resnet18,cifar100,LDA,16,83.0,66.97
resnet18,cifar100,LDA,17,79.0,66.97
resnet18,cifar100,LDA,18,62.0,66.97
resnet18,cifar100,LDA,19,61.0,66.97
resnet18,cifar100,LDA,20,83.0,66.97
resnet18,cifar100,LDA,21,80.0,66.97
resnet18,cifar100,LDA,22,86.0,66.97
resnet18,cifar100,LDA,23,74.0,66.97
resnet18,cifar100,LDA,24,75.0,66.97
resnet18,cifar100,LDA,25,63.0,66.97
resnet18,cifar100,LDA,26,61.0,66.97
resnet18,cifar100,LDA,27,56.0,66.97
resnet18,cifar100,LDA,28,74.0,66.97
resnet18,cifar100,LDA,29,67.0,66.97
resnet18,cifar100,LDA,30,55.0,66.97
resnet18,cifar100,LDA,31,67.0,66.97
resnet18,cifar100,LDA,32,51.0,66.97
resnet18,cifar100,LDA,33,52.0,66.97
resnet18,cifar100,LDA,34,67.0,66.97
resnet18,cifar100,LDA,35,38.0,66.97
resnet18,cifar100,LDA,36,70.0,66.97
resnet18,cifar100,LDA,37,77.0,66.97
resnet18,cifar100,LDA,38,55.0,66.97
resnet18,cifar100,LDA,39,87.0,66.97
resnet18,cifar100,LDA,40,59.0,66.97
resnet18,cifar100,LDA,41,85.0,66.97
resnet18,cifar100,LDA,42,53.0,66.97
resnet18,cifar100,LDA,43,64.0,66.97
resnet18,cifar100,LDA,44,55.0,66.97
resnet18,cifar100,LDA,45,46.0,66.97
resnet18,cifar100,LDA,46,45.0,66.97
resnet18,cifar100,LDA,47,56.0,66.97
resnet18,cifar100,LDA,48,91.0,66.97
resnet18,cifar100,LDA,49,78.0,66.97
resnet18,cifar100,LDA,50,47.0,66.97
resnet18,cifar100,LDA,51,80.0,66.97
