dataset,seed,n_components,acc_full,acc_lda,acc_pca,lda_vs_full,lda_vs_pca
cifar100,42,99,0.4066,0.4257,0.4101,0.019100000000000006,0.015600000000000003
cifar100,123,99,0.4066,0.4257,0.409,0.019100000000000006,0.016700000000000048
cifar100,456,99,0.4066,0.4257,0.4085,0.019100000000000006,0.01720000000000005
cifar100,789,99,0.4066,0.4257,0.409,0.019100000000000006,0.016700000000000048
cifar100,1024,99,0.4066,0.4257,0.408,0.019100000000000006,0.01770000000000005
tiny_imagenet_ResNet-18,42,199,0.5808,0.6265,0.629,0.04569999999999996,-0.0025000000000000577
tiny_imagenet_ResNet-18,123,199,0.5808,0.6265,0.6301,0.04569999999999996,-0.0036000000000000476
tiny_imagenet_ResNet-18,456,199,0.5808,0.6265,0.6267,0.04569999999999996,-0.000200000000000089
tiny_imagenet_ResNet-18,789,199,0.5808,0.6265,0.6273,0.04569999999999996,-0.0008000000000000229
tiny_imagenet_ResNet-18,1024,199,0.5808,0.6265,0.6321,0.04569999999999996,-0.005600000000000049
tiny_imagenet_ResNet-50,42,199,0.7175,0.7179,0.6997,0.00039999999999995595,0.018199999999999994
tiny_imagenet_ResNet-50,123,199,0.7175,0.7179,0.6991,0.00039999999999995595,0.018799999999999928
tiny_imagenet_ResNet-50,456,199,0.7175,0.7179,0.6974,0.00039999999999995595,0.020499999999999963
tiny_imagenet_ResNet-50,789,199,0.7175,0.7179,0.701,0.00039999999999995595,0.016900000000000026
tiny_imagenet_ResNet-50,1024,199,0.7175,0.7179,0.7003,0.00039999999999995595,0.01759999999999995
tiny_imagenet_MobileNetV3-Small,42,199,0.5657,0.6089,0.5915,0.043200000000000016,0.01739999999999997
tiny_imagenet_MobileNetV3-Small,123,199,0.5657,0.6089,0.5901,0.043200000000000016,0.01880000000000004
tiny_imagenet_MobileNetV3-Small,456,199,0.5657,0.6089,0.5919,0.043200000000000016,0.017000000000000015
tiny_imagenet_MobileNetV3-Small,789,199,0.5657,0.6089,0.5903,0.043200000000000016,0.01859999999999995
tiny_imagenet_MobileNetV3-Small,1024,199,0.5657,0.6089,0.5908,0.043200000000000016,0.018100000000000005
tiny_imagenet_EfficientNet-B0,42,199,0.6995,0.7035,0.7022,0.0040000000000000036,0.0012999999999999678
tiny_imagenet_EfficientNet-B0,123,199,0.6995,0.7035,0.701,0.0040000000000000036,0.0025000000000000577
tiny_imagenet_EfficientNet-B0,456,199,0.6995,0.7035,0.7018,0.0040000000000000036,0.0017000000000000348
tiny_imagenet_EfficientNet-B0,789,199,0.6995,0.7035,0.7003,0.0040000000000000036,0.0031999999999999806
tiny_imagenet_EfficientNet-B0,1024,199,0.6995,0.7035,0.7012,0.0040000000000000036,0.0022999999999999687
