class_id,method,accuracy,n_samples
0,Full,0.54,50
1,Full,0.4,50
2,Full,0.72,50
3,Full,0.52,50
4,Full,0.7,50
5,Full,0.48,50
6,Full,0.58,50
7,Full,0.46,50
8,Full,0.84,50
9,Full,0.26,50
10,Full,0.62,50
11,Full,0.6,50
12,Full,0.54,50
13,Full,0.88,50
14,Full,0.66,50
15,Full,0.9,50
16,Full,0.74,50
17,Full,0.66,50
18,Full,0.34,50
19,Full,0.64,50
20,Full,0.52,50
21,Full,0.68,50
22,Full,0.86,50
23,Full,0.66,50
24,Full,0.66,50
25,Full,0.52,50
26,Full,0.58,50
27,Full,0.64,50
28,Full,0.44,50
29,Full,0.4,50
30,Full,0.62,50
31,Full,0.54,50
32,Full,0.62,50
33,Full,0.56,50
34,Full,0.66,50
35,Full,0.68,50
36,Full,0.6,50
37,Full,0.54,50
38,Full,0.54,50
39,Full,0.52,50
40,Full,0.58,50
41,Full,0.64,50
42,Full,0.76,50
43,Full,0.56,50
44,Full,0.78,50
45,Full,0.4,50
46,Full,0.78,50
47,Full,0.72,50
48,Full,0.5,50
49,Full,0.5,50
50,Full,0.6,50
51,Full,0.5,50
52,Full,0.74,50
53,Full,0.64,50
54,Full,0.6,50
55,Full,0.7,50
56,Full,0.48,50
57,Full,0.7,50
58,Full,0.6,50
59,Full,0.48,50
60,Full,0.64,50
61,Full,0.54,50
62,Full,0.62,50
63,Full,0.52,50
64,Full,0.68,50
65,Full,0.48,50
66,Full,0.44,50
67,Full,0.66,50
68,Full,0.84,50
69,Full,0.8,50
70,Full,0.5,50
71,Full,0.52,50
72,Full,0.6,50
73,Full,0.86,50
74,Full,0.64,50
75,Full,0.72,50
76,Full,0.6,50
77,Full,0.52,50
78,Full,0.7,50
79,Full,0.88,50
80,Full,0.38,50
81,Full,0.54,50
82,Full,0.52,50
83,Full,0.5,50
84,Full,0.46,50
85,Full,0.62,50
86,Full,0.4,50
87,Full,0.58,50
88,Full,0.36,50
89,Full,0.56,50
90,Full,0.68,50
91,Full,0.7,50
92,Full,0.42,50
93,Full,0.72,50
94,Full,0.74,50
95,Full,0.48,50
96,Full,0.5,50
97,Full,0.58,50
98,Full,0.62,50
99,Full,0.5,50
100,Full,0.44,50
101,Full,0.52,50
102,Full,0.54,50
103,Full,0.64,50
104,Full,0.52,50
105,Full,0.62,50
106,Full,0.64,50
107,Full,0.7,50
108,Full,0.62,50
109,Full,0.74,50
110,Full,0.62,50
111,Full,0.58,50
112,Full,0.54,50
113,Full,0.52,50
114,Full,0.32,50
115,Full,0.72,50
116,Full,0.9,50
117,Full,0.52,50
118,Full,0.46,50
119,Full,0.5,50
120,Full,0.48,50
121,Full,0.44,50
122,Full,0.6,50
123,Full,0.76,50
124,Full,0.34,50
125,Full,0.4,50
126,Full,0.34,50
127,Full,0.82,50
128,Full,0.76,50
129,Full,0.6,50
130,Full,0.54,50
131,Full,0.66,50
132,Full,0.62,50
133,Full,0.56,50
134,Full,0.42,50
135,Full,0.76,50
136,Full,0.5,50
137,Full,0.64,50
138,Full,0.48,50
139,Full,0.62,50
140,Full,0.7,50
141,Full,0.66,50
142,Full,0.54,50
143,Full,0.42,50
144,Full,0.6,50
145,Full,0.42,50
146,Full,0.52,50
147,Full,0.44,50
148,Full,0.72,50
149,Full,0.54,50
150,Full,0.66,50
151,Full,0.54,50
152,Full,0.78,50
153,Full,0.42,50
154,Full,0.4,50
155,Full,0.74,50
156,Full,0.38,50
157,Full,0.44,50
158,Full,0.62,50
159,Full,0.56,50
160,Full,0.48,50
161,Full,0.46,50
162,Full,0.32,50
163,Full,0.7,50
164,Full,0.6,50
165,Full,0.6,50
166,Full,0.6,50
167,Full,0.64,50
168,Full,0.72,50
169,Full,0.34,50
170,Full,0.8,50
171,Full,0.44,50
172,Full,0.52,50
173,Full,0.76,50
174,Full,0.68,50
175,Full,0.72,50
176,Full,0.26,50
177,Full,0.44,50
178,Full,0.62,50
179,Full,0.62,50
180,Full,0.42,50
181,Full,0.42,50
182,Full,0.6,50
183,Full,0.44,50
184,Full,0.56,50
185,Full,0.66,50
186,Full,0.78,50
187,Full,0.58,50
188,Full,0.82,50
189,Full,0.34,50
190,Full,0.4,50
191,Full,0.62,50
192,Full,0.3,50
193,Full,0.66,50
194,Full,0.56,50
195,Full,0.52,50
196,Full,0.72,50
197,Full,0.6,50
198,Full,0.56,50
199,Full,0.66,50
0,LDA,0.54,50
1,LDA,0.48,50
2,LDA,0.7,50
3,LDA,0.62,50
4,LDA,0.72,50
5,LDA,0.56,50
6,LDA,0.54,50
7,LDA,0.56,50
8,LDA,0.84,50
9,LDA,0.32,50
10,LDA,0.74,50
11,LDA,0.62,50
12,LDA,0.56,50
13,LDA,0.9,50
14,LDA,0.68,50
15,LDA,0.92,50
16,LDA,0.82,50
17,LDA,0.74,50
18,LDA,0.3,50
19,LDA,0.66,50
20,LDA,0.66,50
21,LDA,0.82,50
22,LDA,0.88,50
23,LDA,0.7,50
24,LDA,0.78,50
25,LDA,0.6,50
26,LDA,0.6,50
27,LDA,0.68,50
28,LDA,0.58,50
29,LDA,0.46,50
30,LDA,0.58,50
31,LDA,0.64,50
32,LDA,0.66,50
33,LDA,0.46,50
34,LDA,0.72,50
35,LDA,0.72,50
36,LDA,0.64,50
37,LDA,0.56,50
38,LDA,0.6,50
39,LDA,0.52,50
40,LDA,0.66,50
41,LDA,0.72,50
42,LDA,0.9,50
43,LDA,0.52,50
44,LDA,0.76,50
45,LDA,0.42,50
46,LDA,0.72,50
47,LDA,0.78,50
48,LDA,0.6,50
49,LDA,0.46,50
50,LDA,0.58,50
51,LDA,0.5,50
52,LDA,0.74,50
53,LDA,0.78,50
